ID,Station,City,Domain,Total Projects,Tags,Description,Project Domain,Title
6944,10xConstruction.ai - Embedded,Bengaluru,CSIS/IT,1,"AnyA3,AnyA8,AnyAA,A3,A8,AA","Title: Power tool integration with robotsDescription:Skill sets: Embedded Electronics, Develop PCB’s, Firmware codingTraits expectation:Expected learning: Robotics, Embedded Electronics, Embedded Control systems, Develop PCB’s, Develop Firmwares",Electronics,Power tool integration with robots
6941,10xConstruction.ai - IT,Bengaluru,CSIS/IT,1,"A7,AnyA7","Title: Building reinforcement learning system for correcting defectsDescription: Using CV + RL to detect and correct defectsSkill sets: Reinforcement Learning, Computer Vision, Cameras, Optical physicsTraits expectation:Expected learning: Reinforcement Learning, Computer Vision, Artificial Intelligence",AI,Building reinforcement learning system for correcting defects
6945,10xConstruction.ai - Mechanical,Bengaluru,CSIS/IT,1,"A4,AnyA4","Description:Skill sets: Mechanical design, CADTraits expectation:Expected learning: Building Chassis for AMR platformSpecific courses required for project execution:","Mechanical,CAD",Title: Building AMR platform
6942,10xConstruction.ai - Robotics,Bengaluru,CSIS/IT,1,"AnyA3,AnyA4,AnyA7,AnyA8,AnyAA,A7,A3,A4,A8,AA","Title: Building autonomous Navigation systemDescription: Building system for autonomously navigate with obstaclesSkill sets: SLAM, 3d reconstruction, object detection, sensor fusion, roboticsTraits expectation:Expected learning: Robotics, Artificial Intelligence","IT,Mechanical,Electronics",Building autonomous Navigation system
5000,"1Clicktech Global Services Pvt. Ltd.,Gurugram",Gurgaon,CSIS/IT,1,Any,Details awaited,Computer Science,Details awaited
7206,3ktechnologies,Pune,CSIS/IT,1,"AnyA7,A7","Key Responsibilities:Assist in the development and testing of AI/GenAI modelsConduct literature reviews and explore state-of-the-art techniques in machine learningand deep learningSupport data preparation, preprocessing, and annotation tasksContribute to the design of experiments and evaluation of model performanceCollaborate with research scientists, engineers, and product teamsDocument research findings and present results to internal teamsRequired Qualifications:Currently pursuing a degree in Computer Science, Data Science, Engineering, or a relatedfieldFoundational knowledge in machine learning, deep learning, and statisticsFamiliarity with Python and frameworks such as TensorFlow, PyTorch, or Hugging FaceUnderstanding of generative AI concepts (e.g., GANs, transformers, LLMs)Strong analytical and problem-solving skillsGood communication and teamwork abilitiesPreferred (but not required):Experience with NLP, computer vision, or reinforcement learningParticipation in AI-related projects, hackathons, or researchGit and collaborative coding skillsWhat You’ll Gain:Hands-on experience with real-world AI/GenAI projectsMentorship from experienced AI researchers and engineersExposure to cutting-edge tools and techniquesA chance to contribute to impactful, innovative technology",AI & ML,"BITS, Pilani Practice School II – Artificial Intelligence / Generative AI"
7084,A79.ai,Bengaluru,CSIS/IT,2,"AnyA3,AnyA7,AnyA8,AnyAA,A3,A7,A8,AA,AnyA3,AnyA7,AnyA8,AnyAA,A7,A3,A8,AA","Description: Develop a comprehensive observability layer to monitor and capture asynchronous events throughout the lifecycle of user requests processed by the A79 AI workflow engine. This project involves creating a robust system that tracks key metrics, logs important events, and provides insights into the performance and behavior of LLM interactions. The solution should be scalable, minimally invasive to the existing architecture, and provide valuable data for troubleshooting, optimization, and user experience improvement.Required Skills &amp; Traits:Strong programming skills in Python or Go.Understanding of observability concepts including metrics, traces, and logsExperience with OpenTelemetry frameworks and instrumentationKnowledge of containerization (Docker) and orchestration (Kubernetes)Familiarity with LLM APIs and asynchronous processing patternsAbility to work with distributed systems and event-driven architecturesProblem-solving aptitude and analytical thinking&nbsp;Expected Outcomes:A fully integrated observability layer capturing LLM request lifecycle eventsDashboard visualizations of key performance metrics and system healthAlerting system for anomaly detection and performance degradationDocumentation detailing the architecture and implementation approachKnowledge transfer sessions for the A79 team on maintaining and extending the solution&nbsp;Specific courses required for project execution:&nbsp;Distributed Systems Architecture and DesignCloud-Native Application DevelopmentOpenTelemetry Implementation and Best PracticesKubernetes for Application DeploymentModern API Design and Implementation,Title: Zanzibar-Inspired Authorization System for A79 ProductsDescription: Design and implement a fine-grained access control system for A79's product suite, inspired by Google's Zanzibar authorization model. The system will manage permissions across various metadata entities, support user groups and flexible sharing capabilities, and integrate seamlessly with existing A79 products. This authorization layer should be performant, scalable, and provide a consistent permission model across the entire product ecosystem.Required Skills &amp; Traits:Strong background in backend development and distributed systemsUnderstanding of authorization concepts and security principlesExperience designing and implementing complex permission systemsKnowledge of graph-based data structures and their manipulationFamiliarity with high-performance caching strategiesAbility to design clean, intuitive APIs for internal consumptionAttention to detail and commitment to security best practices&nbsp;Expected Outcomes:A centralized authorization service implementing Zanzibar conceptsAPIs for permission checking, relationship management, and authorization administrationIntegration with existing A79 products and identity management systemsComprehensive test suite ensuring correctness of authorization decisionsPerformance benchmarks demonstrating capability to handle expected loadDocumentation covering architecture, API usage, and extension patterns&nbsp;Specific courses required for project execution: Advanced Database SystemsSecurity Engineering and Access ControlDistributed Systems Design PatternsAPI Design and DevelopmentPerformance Optimization for Backend Systems",Yet to be finalized,"LLM Observability Layer for A79 AI Workflow Engine,Zanzibar-Inspired Authorization System for A79 Products"
7087,Acko Insurance,Bengaluru,Finance and Mgmt,1,"AnyA7,A7","About RoleThe Software Development Engineers core responsibilities include working on highly maintainable and unit-tested softwarecomponents/systems that address real-world problems. You will be working in a fast-paced and agile work environment deliveringquality solutions that have an immediate business impact.Heres what we are looking forExperience level of 0to 2 years of experience in very large-scale applications.Strong problem-solving skills, computer science fundamentals,data structures and algorithms.Good understanding of data structures &amp; algorithms and theirspace &amp; time complexities.Strong hands-on and practical working experience with JavaExcellent coding skills - should be able to convert design intocode fluently.Hands-on experience working with Databases and Linux platforms.B.E./B. Tech in Computer Science or equivalent from a reputedcollege. Responsibilities:Write maintainable/scalable/efficient code.Follow coding standards, unit-testing, code reviews etc.Design &amp; architect business problems.Follow release cycles and commitment to deadlines.Work in a cross-functional team, collaborating with peers duringthe entire SDLC.Mentor Junior Developers.Helping Acko in team building.Design (LLD &amp; HLD) and architect technical solutions for thebusiness problems of a very large-scale portal.",Yet to be finalized,Software Development Engineer
7210,Acuity Knowledge Partners - Data Visualization,Bengaluru,Finance and Mgmt,1,"AnyA3,AnyA7,AnyA8,AnyAA,A7,AA,A8,B3","Description: Create dashboards to visualize financial data and analyze API logs. Interns will explore integration with Cloud services (CloudWatch, S3) and NoSQL databases for real-time monitoring.Required Skills &amp; Traits: Knowledge of Python and Dashboard (Streamlit, Power BI etc.); Cloud based application development knowledge; Data Visualization experience; Basic Understanding and curiosity about NoSQL databases; Attention to detail and communication skillsExpected Outcomes: dashboards for data visualization and log analysis; Application integration with Cloud services like noSQL database.; User guide and FAQ documentation.Specific courses required for project execution:&nbsp; Database System; Data Visualization&nbsp;","Data Dashboards,Project Reporting",Title: Dashboard for Log Analysis
7209,Acuity Knowledge Partners-AI & Finance,Bengaluru,Finance and Mgmt,1,"AnyA3,AnyA7,AnyA8,AnyAA,AnyB3,A3,A7,AA,A8,B3","Description: Develop generative AI agents to analyze financial datasets and generate insights. Integrate agents with RESTful APIs and deploy on AWS. Create Streamlit dashboards to monitor agent performance and data logs.Required Skills &amp; Traits: Interest in Python and AI/ML libraries; Curiosity to learn generative AI frameworks; Willingness to familiarize with RESTful API development (FastAPI/Flask); Interest in Cloud based application development; Interest in Financial Data Analysis and analytical mindset; Strong communication and ability to collaborate and get things done.Expected Outcomes: Functional AI agents for financial analysis.; API based Agentic framework; Technical Report on Agentic deployment and performance and Dashboard on Performance Monitoring.Specific courses required for project execution: Artificial Intelligence; Data Structures and Algorithms, Economics and good financial knowledge","Finance,Artificial Intelligence",Title: Generative AI Agents for Financial Analysis
