ID,Sl.No,Station,City,Date,Stipend
6423,1,10xConstruction.ai,Bengaluru,"May 22nd, 2025",
6944,2,10xConstruction.ai - Embedded,Bengaluru,"May 20th, 2025",35000
6941,3,10xConstruction.ai - IT,Bengaluru,"May 20th, 2025",35000
6945,4,10xConstruction.ai - Mechanical,Bengaluru,"May 20th, 2025",35000
6942,5,10xConstruction.ai - Robotics,Bengaluru,"May 20th, 2025",35000
5000,6,"1Clicktech Global Services Pvt. Ltd.,Gurugram",Gurgaon,"May 20th, 2025",
7206,7,3ktechnologies,Pune,"May 20th, 2025",25000
7084,8,A79.ai,Bengaluru,"May 20th, 2025",80000
7087,9,Acko Insurance,Bengaluru,"May 20th, 2025",40000
7210,10,Acuity Knowledge Partners - Data Visualization,Bengaluru,"May 20th, 2025",25000
7209,11,Acuity Knowledge Partners-AI & Finance,Bengaluru,"May 20th, 2025",25000
4677,12,"Aditya Birla Science & Technology Company Ltd. (ABSTC) ,Mumbai",Mumbai,"May 20th, 2025",
5902,13,AECOM - Pune,Pune,"May 20th, 2025",7500
4706,14,"AECOM,Mumbai",Mumbai,"May 20th, 2025",7500
7168,15,Agam Capital,Mumbai,"May 20th, 2025",125000
7294,16,"Alembic Pharmaceuticals,Mumbai",Mumbai,"May 20th, 2025",
7411,17,ALLEN Career Institute Private Limited,Mumbai,"May 29th, 2025",
5831,18,AlmaConnect,Gurgaon,"May 22nd, 2025",12000
4946,19,"AltiusHub,Hyderabad",Hyderabad,"May 20th, 2025",50000
6087,20,Altruist Technologies Private Limited,Panchkula,"May 20th, 2025",
7329,21,Altruistic Solutions,India,"May 22nd, 2025",
7342,22,Amagi Media Labs Pvt Ltd,Bengaluru,"May 22nd, 2025",30000
6300,23,AMAZON SDE,Bengaluru,"May 20th, 2025",110000
5154,24,"AMD India Pvt Ltd,Bengaluru",Bengaluru,"May 20th, 2025",
7357,25,"AMD India Pvt Ltd,Hyderabad",Hyderabad,"May 20th, 2025",
5643,26,"American Express - AiDa, Bengaluru",Bengaluru,"May 22nd, 2025",150000
5644,27,"American Express - AiDa, Gurugram",Gurgaon,"May 22nd, 2025",150000
5645,28,American Express AI Products,Gurgaon,"May 20th, 2025",150000
6875,29,Ampere Computing,Bengaluru,"May 20th, 2025",50000
